Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
145,Burkina Faso,3.739,0.320,0.631,0.213,0.334,0.244,0.125
145,Uganda,3.739,0.347,0.910,0.196,0.437,0.271,0.064
147,Yemen,3.724,0.579,0.475,0.310,0.229,0.098,0.059
148,Madagascar,3.695,0.280,0.461,0.371,0.137,0.220,0.075
149,Tanzania,3.666,0.472,0.776,0.357,0.318,0.315,0.051
150,Liberia,3.622,0.107,0.504,0.232,0.257,0.241,0.049
151,Guinea,3.607,0.224,0.311,0.188,0.310,0.299,0.119
152,Rwanda,3.515,0.328,0.616,0.319,0.543,0.236,0.505
153,Benin,3.484,0.395,0.104,0.210,0.397,0.202,0.067
154,Afghanistan,3.360,0.382,0.110,0.173,0.164,0.313,0.071
155,Togo,3.303,0.281,0.000,0.248,0.347,0.175,0.116
156,Syria,3.069,0.747,0.149,0.630,0.069,0.484,0.172
157,Burundi,2.905,0.068,0.234,0.157,0.043,0.203,0.094
